"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.23154483","1.16319765","2.07955339","3.84068521","5.25381051","5.15067399","7.15015398","9.22381711","7.07919608","10.89764013","11.05564785","12.82629351","13.21508158","9.88188416","","",
"Angola","AGO","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.48597805","1.28636613","2.1171438","4.40910083","2.65606793","3.44035096","4.66733767","3.20567019","3.56708808","2.73260978","3.79824766","4.29951195","3.00673159","","",
"Albania","ALB","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.18299104","5.18313345","5.67769525","6.75831165","8.83330134","4.75239712","7.05899228","4.75351685","3.70079979","4.93773439","3.39321074","1.50290517","2.03450701","","",
"Andorra","AND","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.497086663085855","0.991462469226394","0.66794117109508","1.27202531495765","1.7422531616234","1.2232727300431","1.69528861903613","1.43705227154719","2.2460271764773","1.80513542401501","1.84604227353454","2.66649540738562","2.08451368926526","","",
"United Arab Emirates","ARE","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","",
"Argentina","ARG","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.215989","0.42720468","0.52556818","0.89091829","2.01385624","4.48686576","1.37388507","1.26077133","6.7103059","2.24614946","3.08802543","3.7554992","5.45054311","5.16705848","4.32167561","5.75727241","","",
"Armenia","ARM","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.33911967","5.81027065","4.7297045","3.49218288","3.9378536","7.52519348","10.18478592","14.39496176","10.82795563","8.98440123","8.65303302","11.21442094","10.72554569","7.67918531","6.21879825","3.96395062","","",
"American Samoa","ASM","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.41964985","0.82993372","0.82030181","0.81060695","1.20148696","0","0.78251945","19.34675302","0","1.5144356","0","1.11196733","","",
"Australia","AUS","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Austria","AUT","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.65064755","0.59109019","0.31405325","0.86222052","1.29574967","1.37619572","1.56282249","2.16401052","2.44262456","4.03579773","1.88891013","2.73315361","1.88394449","","",
"Burundi","BDI","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.25165515","2.41867941","3.95030232","5.12552524","4.94991833","5.45184011","8.27043381","13.97368343","9.99442277","9.60767292","13.13771462","11.20809951","9.8403403","","",
"Belgium","BEL","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Benin","BEN","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.72978636","2.95854953","3.27218561","4.34258265","4.97793304","4.93892508","5.13606286","7.00238533","7.87629662","6.75314625","8.04087114","9.08691361","14.17029491","9.0949054","9.83623329","10.71339647","","",
"Burkina Faso","BFA","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.60275915","1.51041962","1.93396951","3.72920407","4.7014668","6.40067445","7.560428","12.04295534","10.92252389","9.786635","14.04723364","11.62154058","12.20274657","13.67896913","10.57614197","9.88695469","","",
"Bangladesh","BGD","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.66081564","0.81233241","0.92011107","0.97857567","1.13687385","1.21643352","1.13688187","1.30865581","1.52151873","1.97996982","2.20535793","2.36380774","2.37776935","3.59116934","3.9876961","3.49014707","","",
"Bulgaria","BGR","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Bahamas, The","BHS","External health expenditure per capita (current US$)","SH.XPD.EHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.71388768","6.59772049","6.46920497","6.33420534","6.20105046","6.07442999","8.93309115","8.76352504","8.60397618","8.45413351","8.31411848","8.18402043","8.06367074","7.95249708","7.84993027","7.75518434","","",
